"","RMSD","low_ci","high_ci","sd","cond","sid","sidc","ord"
"SID#16",42.0790697244535,38.0935600654542,46.2376626445644,2.48119271082595,"high",16,"SID#16",3
"SID#50",44.3139894511598,40.0669779960113,48.7030542088703,2.60984149413131,"high",50,"SID#50",6
"SID#51",51.8274980518567,45.0518768782617,58.36259624008,4.10057492329652,"high",51,"SID#51",9
"SID#19",61.3313849012442,54.4921765159122,68.2806424842161,4.14520836771471,"high",19,"SID#19",18
"SID#20",62.8367110038948,56.0690709017862,69.217598559976,3.94289893752458,"high",20,"SID#20",19
"SID#21",61.1535798461494,54.879350412746,67.2545980699045,3.78609922955487,"high",21,"SID#21",17
"SID#22",57.58575758524,51.5052647814752,63.2793666687817,3.64429161211433,"high",22,"SID#22",16
"SID#23",53.9680194452028,46.7845591633147,60.0893779897443,4.13779434820751,"high",23,"SID#23",12
"SID#24",66.3750690614724,58.8949673966982,73.40529981564,4.34253477042493,"high",24,"SID#24",20
"SID#25",41.9100677307692,34.8753899312581,48.5867039215118,4.16889568243738,"high",25,"SID#25",2
"SID#26",34.0834413876354,30.2880498564437,37.8369610233027,2.30351737449896,"high",26,"SID#26",1
"SID#27",43.9390643711781,38.2158018910651,49.6753385260053,3.44145611728167,"high",27,"SID#27",5
"SID#28",45.4304567519353,39.4495091308841,51.5429001379741,3.69547829365853,"high",28,"SID#28",7
"SID#29",56.5318456443768,49.4577494434018,63.5376664869219,4.27108196753635,"high",29,"SID#29",13
"SID#30",53.5722718969722,45.9365770169441,60.241483371038,4.41323948518151,"high",30,"SID#30",10
"SID#32",69.6311133994815,63.5182782744693,75.2678985063941,3.62729087365166,"high",32,"SID#32",21
"SID#33",53.7609382106662,47.0982337525711,60.1341280016749,3.96021243706985,"high",33,"SID#33",11
"SID#41",46.4056856893816,42.0742151852331,50.9063286112628,2.66349178586042,"high",41,"SID#41",8
"SID#34",57.448795099325,50.6043323674311,64.1535589930937,4.14463720810445,"high",34,"SID#34",15
"SID#35",56.7049896412067,49.4178272572211,63.3914885509763,4.24236605378521,"high",35,"SID#35",14
"SID#36",42.4033280638025,36.1796414977503,48.2438044428808,3.67752985980466,"high",36,"SID#36",4
