"","AUC","low_ci","high_ci","sd","cond","sid","sidc"
"SID#1",0.839595476,0.73698075,0.9276393,0.0582794611820416,"low",1,"SID#1"
"SID#2",0.893356489,0.82175675,0.953704,0.0419398024083797,"low",2,"SID#2"
"SID#3",0.765180348,0.6516081,0.8700748,0.0659548425581455,"low",3,"SID#3"
"SID#4",0.776074105,0.6628723,0.87115775,0.063582551839781,"low",4,"SID#4"
"SID#5",0.867970807,0.78608285,0.940577,0.0491063053349914,"low",5,"SID#5"
"SID#6",0.749388052,0.68325725,0.819444,0.0423131046016045,"low",6,"SID#6"
"SID#7",0.557870977,0.514706,0.609756,0.0284915497983241,"low",7,"SID#7"
"SID#8",0.837466759,0.7606009,0.9062658,0.0456796715815549,"low",8,"SID#8"
"SID#9",0.620109393,0.4933928,0.7476415,0.0770940794577767,"low",9,"SID#9"
"SID#10",0.618164711,0.53054335,0.703125,0.0525129936568873,"low",10,"SID#10"
"SID#11",0.594147325,0.44242045,0.73303255,0.0888997641601208,"low",11,"SID#11"
"SID#12",0.669345444,0.51816575,0.8009883,0.0872120580900208,"low",12,"SID#12"
"SID#14",0.67204124,0.5785487,0.76392985,0.0555161954853497,"low",14,"SID#14"
"SID#16",0.671963275,0.5405924,0.79076125,0.076413321635044,"low",16,"SID#16"
"SID#18",0.642819294,0.5296288,0.76436975,0.0734641713963652,"low",18,"SID#18"
"SID#19",0.797355279,0.6944384,0.89481875,0.0607463504665603,"low",19,"SID#19"
"SID#20",0.863831706,0.77987085,0.9368519,0.0474707235388177,"low",20,"SID#20"
"SID#15",0.737205332,0.6416625,0.83334835,0.0583711347079948,"low",15,"SID#15"
